"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "Dart", "YAML", "HTML", "Properties", "Groovy", "Java", "comment", "blank", "total"
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 13, 74
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\google-services.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
